relationship_element_id,start_node_element_id,end_node_element_id
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221930,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1194
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221931,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1195
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221932,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1196
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221933,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1197
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221934,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1198
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221935,4:699adb08-f1e5-4be8-b17b-792b62a6747d:646,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1199
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221936,4:699adb08-f1e5-4be8-b17b-792b62a6747d:646,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1200
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221937,4:699adb08-f1e5-4be8-b17b-792b62a6747d:646,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1201
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221938,4:699adb08-f1e5-4be8-b17b-792b62a6747d:646,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1202
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221939,4:699adb08-f1e5-4be8-b17b-792b62a6747d:646,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1203
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6919786325012907172,4:699adb08-f1e5-4be8-b17b-792b62a6747d:647,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1188
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6919786325012907174,4:699adb08-f1e5-4be8-b17b-792b62a6747d:647,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1190
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221940,4:699adb08-f1e5-4be8-b17b-792b62a6747d:647,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1204
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221941,4:699adb08-f1e5-4be8-b17b-792b62a6747d:647,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1205
